ID,pred
25318,0.043742213
25319,0.0024714742
25320,0.0053739417
25321,0.66638476
25322,0.021405939
25323,0.0014179074
25324,0.00031811994
25325,0.0026150593
25326,0.013507455
25327,0.19284715
25328,0.6862358
25329,0.18055373
25330,0.0003270142
25331,0.0008821901
25332,0.0016691014
25333,0.007401956
25334,0.11567527
25335,0.00084731134
25336,0.0026089523
25337,0.1938069
25338,0.08441371
25339,0.06020191
25340,0.00042602283
25341,0.010341028
25342,0.27976793
25343,0.00501388
25344,0.0083861025
25345,0.0048703332
25346,0.012872772
25347,0.001310008
25348,0.0071607986
25349,0.0015031169
25350,0.001609319
25351,0.001246648
25352,0.012371089
25353,0.006839812
25354,0.003867223
25355,0.36810964
25356,0.36559758
25357,0.002018723
25358,0.04266654
25359,0.017902952
25360,0.0023109622
25361,0.013307543
25362,0.0256606
25363,0.63334763
25364,0.001311147
25365,0.0034516237
25366,0.0017944222
25367,0.003924266
25368,0.28015727
25369,0.06955205
25370,0.0010250361
25371,0.029186398
25372,0.008438574
25373,0.023099624
25374,0.047522053
25375,0.00063447095
25376,0.013874238
25377,0.010547672
25378,0.026852865
25379,0.016299488
25380,0.008457363
25381,0.0013156314
25382,0.0008518951
25383,0.06416469
25384,0.0014392979
25385,0.01718787
25386,0.0016629288
25387,0.1381357
25388,0.009638763
25389,0.44505894
25390,0.0011626419
25391,0.004405698
25392,0.56258994
25393,0.01886895
25394,0.31799582
25395,0.014430358
25396,0.001049489
25397,0.009592717
25398,0.66847783
25399,0.15925702
25400,0.0053114267
25401,0.0014612699
25402,0.59163946
25403,0.013174299
25404,0.0030041616
25405,0.4634991
25406,0.0009372745
25407,0.020733934
25408,0.4461391
25409,0.0077911606
25410,0.028406756
25411,0.015673658
25412,0.25947455
25413,0.766242
25414,0.19612691
25415,0.4232295
25416,0.0035179465
25417,0.1985604
25418,0.004513924
25419,0.0011564421
25420,0.010963868
25421,0.0007172952
25422,0.0003829923
25423,0.0047900407
25424,0.004398563
25425,0.0014867972
25426,0.015743447
25427,0.3692468
25428,0.0036964072
25429,0.12261735
25430,0.034342412
25431,0.057480592
25432,0.010334188
25433,0.0018318807
25434,0.55978376
25435,0.0069320374
25436,0.0018530401
25437,0.005759302
25438,0.0037110785
25439,0.43687108
25440,0.113358565
25441,0.67466605
25442,0.0014075649
25443,0.0012479026
25444,0.41166192
25445,0.0030233962
25446,0.04960569
25447,0.021935554
25448,0.018240461
25449,0.028387113
25450,0.0043069865
25451,0.017904403
25452,0.010030948
25453,0.0018120921
25454,0.72467357
25455,0.006247218
25456,0.0037999158
25457,0.6346751
25458,0.7546268
25459,0.03477946
25460,0.040740576
25461,0.0017319806
25462,0.13858886
25463,0.18747945
25464,0.011555453
25465,0.0011551627
25466,0.09546601
25467,0.111602105
25468,0.022820042
25469,0.00031751092
25470,0.0061929286
25471,0.007760136
25472,0.0013931368
25473,0.022097105
25474,0.0072922837
25475,0.005826041
25476,0.0008521338
25477,0.0046053734
25478,0.4972409
25479,0.0033923166
25480,0.007445874
25481,0.021909151
25482,0.006579413
25483,0.0014118488
25484,0.07251858
25485,0.48241952
25486,0.11245461
25487,0.00056640507
25488,0.33750963
25489,0.46991163
25490,0.46504205
25491,0.17196067
25492,0.00153572
25493,0.20902309
25494,0.43781427
25495,0.076598905
25496,0.007140628
25497,0.011606247
25498,0.0012327419
25499,0.0058761532
25500,0.0026805915
25501,0.0060857083
25502,0.046015166
25503,0.0020953931
25504,0.00043416524
25505,0.31742546
25506,0.1704905
25507,0.0006586394
25508,0.0018235398
25509,0.0042890143
25510,0.005381134
25511,0.069455065
25512,0.40700582
25513,0.011557751
25514,0.0008537263
25515,0.44570172
25516,0.0056593018
25517,0.00095951924
25518,0.32399526
25519,0.002634633
25520,0.23449601
25521,0.0063635255
25522,0.0017495279
25523,0.25585958
25524,0.0067400527
25525,0.5962727
25526,0.64419967
25527,0.055585913
25528,0.0016104663
25529,0.14264692
25530,0.00072759576
25531,0.0074980515
25532,0.05543843
25533,0.04747617
25534,0.049406376
25535,0.057899293
25536,0.11880788
25537,0.0002186605
25538,0.019765273
25539,0.77805734
25540,0.33322755
25541,0.19210295
25542,0.004448111
25543,0.01287004
25544,0.023574097
25545,0.0004462794
25546,0.013785851
25547,0.0038324343
25548,0.114750944
25549,0.0005327264
25550,0.00890578
25551,0.32021424
25552,0.3515196
25553,0.0026632205
25554,0.00078806875
25555,0.013237289
25556,0.6532102
25557,0.0033595099
25558,0.0005164465
25559,0.0006213573
25560,0.035715196
25561,0.41923094
25562,0.002456961
25563,0.007882992
25564,0.5733927
25565,0.0056753433
25566,0.011718424
25567,0.030850872
25568,0.687001
25569,0.013334442
25570,0.0011791291
25571,0.7413035
25572,0.0016126329
25573,0.0015750531
25574,0.0022018233
25575,0.002289881
25576,0.0097269695
25577,0.013085623
25578,0.00028383842
25579,0.009085329
25580,0.0007377484
25581,0.022288727
25582,0.00081444083
25583,0.58421665
25584,0.0023761336
