,0,1
0,0.96185184,0.038148157
1,0.9982496,0.0017504242
2,0.9964421,0.0035579149
3,0.27868617,0.72131383
4,0.9808452,0.019154785
5,0.9990066,0.0009933558
6,0.9997385,0.00026147062
7,0.9972426,0.0027573707
8,0.99207944,0.007920589
9,0.82211125,0.17788874
10,0.28606665,0.71393335
11,0.84798473,0.15201525
12,0.9997592,0.00024082005
13,0.99946845,0.00053157605
14,0.99907404,0.00092592905
15,0.9925244,0.0074756187
16,0.8923559,0.107644066
17,0.99933857,0.0006614222
18,0.9981251,0.0018749125
19,0.79774165,0.20225838
20,0.9389973,0.06100265
21,0.9518668,0.048133202
22,0.99963427,0.0003657148
23,0.9926944,0.0073056337
24,0.71251655,0.28748348
25,0.99654055,0.0034594727
26,0.9945967,0.0054032626
27,0.9972239,0.0027760868
28,0.9883112,0.01168885
29,0.99905413,0.0009458773
30,0.9932497,0.006750295
31,0.998781,0.001218957
32,0.9991086,0.000891359
33,0.99889725,0.0011027545
34,0.98973054,0.01026945
35,0.99605906,0.0039409176
36,0.9972876,0.0027124535
37,0.6513829,0.34861708
38,0.5808213,0.41917872
39,0.9990141,0.0009859472
40,0.9595497,0.04045025
41,0.98538405,0.01461598
42,0.99812824,0.0018717491
43,0.9899724,0.010027596
44,0.9828062,0.017193768
45,0.40588677,0.59411323
46,0.99908805,0.00091195485
47,0.9978387,0.0021613333
48,0.9985739,0.0014260779
49,0.9977939,0.0022060995
50,0.7771156,0.22288439
51,0.89909446,0.10090555
52,0.99923164,0.00076834386
53,0.9721402,0.027859805
54,0.993422,0.0065780263
55,0.98181796,0.01818201
56,0.9601741,0.03982592
57,0.99952817,0.00047183796
58,0.9894799,0.010520103
59,0.9924332,0.007566796
60,0.98251146,0.017488511
61,0.9863772,0.013622808
62,0.99176955,0.00823044
63,0.99909085,0.00090917636
64,0.9993343,0.0006657036
65,0.9370224,0.06297759
66,0.9991814,0.0008186233
67,0.9852366,0.014763439
68,0.9990212,0.0009788343
69,0.9038391,0.09616089
70,0.99224466,0.007755313
71,0.55064964,0.4493504
72,0.9986551,0.0013449104
73,0.9969301,0.003069907
74,0.43037754,0.56962246
75,0.985861,0.014139009
76,0.7167283,0.28327167
77,0.9875459,0.012454105
78,0.9990859,0.0009141262
79,0.9908428,0.00915721
80,0.3117633,0.6882367
81,0.8296962,0.17030385
82,0.9961886,0.0038114274
83,0.9989789,0.001021077
84,0.37642694,0.62357306
85,0.9898977,0.010102296
86,0.9967623,0.0032377539
87,0.5032469,0.4967531
88,0.999345,0.000654999
89,0.97836643,0.021633588
90,0.52575976,0.47424024
91,0.99380153,0.006198442
92,0.97713256,0.022867417
93,0.98377913,0.016220843
94,0.71678334,0.28321666
95,0.1934197,0.8065803
96,0.8589176,0.14108242
97,0.6069217,0.3930783
98,0.996784,0.0032160366
99,0.820709,0.179291
100,0.9963912,0.003608798
101,0.99919605,0.000803938
102,0.98859924,0.011400736
103,0.99953306,0.00046694462
104,0.9997726,0.00022736721
105,0.99619985,0.00380017
106,0.99725664,0.0027433685
107,0.9989521,0.0010478972
108,0.9898391,0.010160911
109,0.57459116,0.42540884
110,0.9970379,0.002962088
111,0.8926075,0.10739247
112,0.96874195,0.031258073
113,0.94208926,0.057910755
114,0.99093914,0.009060836
115,0.9985157,0.0014842715
116,0.45414007,0.54585993
117,0.995335,0.004665045
118,0.9985818,0.0014181668
119,0.99566925,0.004330778
120,0.99733347,0.0026665397
121,0.5587512,0.44124877
122,0.9030205,0.09697947
123,0.29307526,0.70692474
124,0.9987625,0.0012375095
125,0.9993342,0.0006657556
126,0.710989,0.28901103
127,0.997821,0.0021790368
128,0.95311016,0.04688986
129,0.9813509,0.018649122
130,0.98361266,0.016387353
131,0.9756953,0.024304666
132,0.9951409,0.0048591006
133,0.9832337,0.016766306
134,0.9914168,0.008583188
135,0.99881303,0.0011869916
136,0.30434352,0.6956565
137,0.99623084,0.0037691346
138,0.99700016,0.00299984
139,0.31998414,0.68001586
140,0.28621012,0.7137899
141,0.9705728,0.029427141
142,0.9619399,0.03806011
143,0.998972,0.001027994
144,0.8995197,0.10048032
145,0.8293544,0.17064556
146,0.9915272,0.008472787
147,0.99922734,0.00077268213
148,0.9278906,0.0721094
149,0.90900326,0.090996735
150,0.98158556,0.018414455
151,0.9997856,0.00021438656
152,0.9955881,0.0044118576
153,0.9945328,0.0054671923
154,0.99918103,0.00081898534
155,0.9816774,0.018322594
156,0.99385107,0.0061489055
157,0.9957975,0.0042024693
158,0.999347,0.00065303495
159,0.99659616,0.003403851
160,0.44152147,0.55847853
161,0.9970668,0.0029332233
162,0.99535936,0.004640654
163,0.9846316,0.015368379
164,0.99459964,0.00540036
165,0.9991183,0.00088165316
166,0.9303337,0.06966631
167,0.55875444,0.44124553
168,0.87653875,0.12346123
169,0.9996817,0.00031827344
170,0.7145667,0.2854333
171,0.53630686,0.46369317
172,0.47354573,0.52645427
173,0.8088453,0.19115475
174,0.9986765,0.0013234976
175,0.79236984,0.20763014
176,0.5866064,0.41339362
177,0.93308645,0.06691354
178,0.99243784,0.007562178
179,0.9897223,0.010277688
180,0.99899715,0.0010028406
181,0.99541223,0.004587784
182,0.9982504,0.0017495637
183,0.99591464,0.004085339
184,0.96539575,0.034604244
185,0.9985953,0.0014047173
186,0.9996868,0.00031320858
187,0.7119874,0.2880126
188,0.871199,0.12880096
189,0.9993788,0.0006212294
190,0.99879116,0.0012088652
191,0.9961612,0.0038387985
192,0.9959574,0.0040426096
193,0.93037045,0.06962957
194,0.5352307,0.4647693
195,0.9899639,0.010036116
196,0.9994726,0.0005273693
197,0.52904546,0.4709545
198,0.99535924,0.0046407576
199,0.9994164,0.0005836007
200,0.67454123,0.32545877
201,0.9982073,0.0017927164
202,0.7630698,0.23693019
203,0.99609613,0.0039038644
204,0.9988918,0.0011082181
205,0.75884676,0.24115324
206,0.9946763,0.005323694
207,0.35990733,0.6400927
208,0.37613612,0.6238639
209,0.948683,0.05131698
210,0.9989014,0.001098584
211,0.8527029,0.14729708
212,0.9995875,0.0004125125
213,0.99498075,0.0050192373
214,0.9486187,0.051381264
215,0.95326614,0.04673386
